condition,profile_id,gender,year_birth,race,education,income,party,donation,newsletter,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,trust_post_1,distrust_1,funding_5,policy_1_1,policy_2_1,policy_3_1,policy_4_1,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,belief_post_1,concern_1_1,concern_2_1,concern_3_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1
Funding,p00238,2,2005,1,3,2,3,8,No,80,85,90,95,92,88,70,75,85,60,55,80,65,10,20,90,0,95,80,70,80,75,85,50,95,70,85,90,85,60,80,95,70,50,85,90,25,60,40,30,50,35
Funding,p00239,1,1973,4,1,3,3,10,No,70,80,85,95,90,92,88,82,89,75,87,90,50,20,60,95,10,98,85,70,75,72,80,55,95,90,92,88,80,95,80,85,92,60,90,95,20,50,40,10,70,30
Funding,p00240,2,1975,3,1,5,3,10,No,75,80,85,90,95,92,88,96,91,87,94,83,92,5,40,98,20,97,99,85,90,88,95,92,95,95,96,98,98,100,99,98,97,96,95,94,60,90,75,30,85,92
Funding,p00241,2,1986,1,4,3,3,7,No,95,92,97,98,96,99,91,94,93,88,90,85,95,5,50,98,20,99,96,85,92,88,95,80,98,97,95,90,90,92,93,94,91,80,95,92,60,75,40,50,80,30
Funding,p00242,1,1962,4,1,1,1,10,No,20,25,15,30,35,40,20,25,15,10,5,0,50,30,70,90,10,95,85,25,30,35,20,40,20,60,70,50,60,30,40,55,65,35,45,50,0,10,20,5,15,25
Funding,p00243,2,2003,1,5,3,2,8,Yes,95,98,96,99,100,99,95,98,97,90,92,85,80,5,20,98,5,99,90,85,88,92,95,80,95,95,97,98,90,85,80,92,90,70,85,95,75,80,90,70,85,80
Funding,p00244,2,2005,1,2,2,2,8,Yes,80,85,90,95,92,96,98,99,97,95,92,85,90,5,20,95,0,98,92,80,85,82,90,75,95,99,97,95,98,96,98,99,98,92,95,97,70,80,90,40,85,60
Funding,p00245,2,1979,2,2,4,3,8,Yes,95,92,98,96,99,97,91,94,93,88,90,89,82,5,60,95,0,90,85,80,90,88,92,75,85,92,98,95,95,80,90,95,85,70,92,88,40,80,50,60,75,40
Funding,p00246,2,1982,3,1,1,3,2,Yes,50,60,55,70,80,75,85,90,80,60,70,65,20,0,30,90,10,95,80,25,20,30,50,40,40,80,85,70,60,60,65,75,80,45,50,60,30,40,20,15,70,50
Funding,p00247,1,1971,2,3,1,3,10,Yes,80,85,90,95,92,96,88,91,94,89,97,98,99,5,20,95,20,98,90,92,96,94,88,85,95,92,96,95,80,85,80,98,92,75,90,95,50,70,60,40,80,75
Funding,p00248,2,1971,1,4,4,2,9,Yes,90,95,92,98,96,94,88,89,91,85,86,84,99,0,20,98,0,99,97,88,92,90,96,95,95,92,94,95,97,96,98,99,97,92,94,96,76,85,89,68,88,82
Funding,p00249,1,2008,1,3,2,1,9,No,80,85,90,95,92,88,70,65,72,40,38,50,60,30,20,95,5,98,85,75,85,80,92,70,80,80,90,70,90,95,98,92,88,80,90,95,40,60,30,20,50,10
Funding,p00250,2,1956,3,5,1,2,10,Yes,90,95,92,98,99,96,94,93,97,95,98,96,99,0,20,100,0,99,95,95,97,96,94,92,100,100,98,95,90,90,95,96,93,92,94,97,60,70,80,30,90,95
Oil industry misinformation,p00251,1,1976,1,3,1,1,8,No,60,70,65,80,85,90,75,70,65,60,55,45,20,80,40,85,20,95,90,30,45,40,55,25,50,70,80,60,65,40,50,60,55,30,45,50,20,35,25,15,30,25
Oil industry misinformation,p00252,2,1939,1,5,1,2,7,Yes,90,92,95,98,99,97,96,94,93,91,99,95,100,0,10,100,10,100,95,95,98,97,99,50,98,90,92,85,100,100,95,98,90,80,75,92,20,60,30,10,50,40
Oil industry misinformation,p00253,1,1976,1,6,3,3,6,Yes,95,90,98,92,96,94,97,99,95,88,85,92,90,2,70,95,70,90,80,90,92,89,96,88,98,98,97,96,95,92,95,90,88,80,85,92,60,75,90,50,80,70
Oil industry misinformation,p00254,2,1980,1,5,2,2,8,Yes,95,92,98,99,98,97,96,95,94,93,92,91,99,1,80,99,98,97,96,85,88,86,94,78,98,94,95,92,90,90,91,89,88,87,86,85,82,83,81,80,95,92
Oil industry misinformation,p00255,2,2001,3,4,2,1,10,Yes,90,95,98,80,85,92,88,94,96,98,99,97,95,0,70,90,40,80,95,85,92,95,98,60,98,92,98,85,90,60,80,95,90,50,85,98,80,70,90,50,85,95
Oil industry misinformation,p00256,2,2006,3,4,3,2,8,Yes,90,95,92,98,96,94,99,100,97,95,93,91,98,2,80,100,60,98,95,92,95,94,96,88,99,99,100,90,100,80,100,95,85,70,90,98,50,80,60,20,40,30
Oil industry misinformation,p00257,1,1978,1,3,3,2,9,Yes,95,90,92,98,96,97,99,100,95,80,90,95,98,2,85,98,80,96,94,90,92,88,91,85,99,100,99,98,95,90,92,95,93,89,91,94,60,80,90,40,85,88
Oil industry misinformation,p00258,2,1947,1,5,3,3,8,Yes,95,92,90,98,96,97,94,91,93,88,89,85,96,4,70,98,92,95,94,94,97,96,99,90,92,96,97,98,95,92,95,94,96,90,93,92,60,80,70,50,90,85
Oil industry misinformation,p00259,2,1991,1,3,3,1,9,No,80,90,85,95,92,88,75,80,85,70,60,50,20,30,10,100,50,95,80,80,95,85,90,60,100,90,95,100,90,50,70,80,90,10,60,85,20,40,30,10,50,20
Oil industry misinformation,p00260,2,2003,1,2,5,1,8,Yes,90,95,92,98,99,96,97,94,93,91,90,92,95,0,80,99,0,98,95,90,95,92,98,80,99,98,99,97,98,96,99,98,95,0,97,99,85,90,95,80,90,92
Oil industry misinformation,p00261,1,1956,5,4,2,2,9,Yes,98,95,92,99,98,96,99,97,94,85,80,90,95,2,70,95,80,92,85,92,96,94,98,90,98,98,96,94,95,90,95,98,92,80,85,90,70,80,60,40,85,75
Oil industry misinformation,p00262,2,1949,1,3,1,2,8,Yes,95,96,98,99,100,99,95,94,96,90,92,85,98,0,20,100,90,95,98,97,98,97,99,95,95,90,92,80,100,100,95,98,96,92,94,97,75,85,80,60,95,85
Oil industry misinformation,p00263,2,2002,3,4,4,1,8,Yes,95,96,98,99,100,97,92,93,95,90,91,94,98,2,80,99,50,100,98,92,93,94,95,85,99,95,97,96,95,99,98,100,95,94,97,99,70,80,60,30,90,85
Oil industry misinformation,p00264,2,1971,3,3,4,3,9,Yes,95,92,98,99,97,96,100,95,93,94,99,98,92,8,90,95,90,92,91,91,92,93,94,85,95,100,99,98,85,96,97,95,94,92,93,91,65,80,60,50,75,70
Oil industry misinformation,p00265,2,1998,3,3,5,1,7,Yes,95,90,92,98,96,97,99,100,95,85,90,92,98,0,75,98,88,95,92,92,95,94,96,90,99,99,100,98,95,85,88,90,92,80,90,95,60,75,80,40,85,70
Oil industry misinformation,p00266,1,1970,1,2,1,3,9,No,85,90,88,95,92,98,80,85,82,60,62,70,90,5,40,95,70,85,80,75,85,80,90,60,95,90,98,95,98,90,85,92,88,75,80,95,60,70,40,20,80,50
Oil industry misinformation,p00267,2,1984,1,4,4,3,8,Yes,80,85,90,95,92,88,78,82,85,65,72,80,95,0,60,98,65,95,80,88,92,85,90,60,98,90,95,85,90,95,92,98,90,80,85,95,60,75,50,40,80,65
Oil industry misinformation,p00268,1,1973,2,3,2,1,10,No,80,85,90,95,92,88,75,80,82,60,55,40,20,0,70,80,0,90,70,30,50,40,60,20,90,85,92,95,80,80,90,95,70,50,85,80,30,60,20,40,50,35
Oil industry misinformation,p00269,2,1956,2,5,4,3,8,No,95,90,92,98,96,97,94,93,91,88,90,85,95,5,80,99,80,99,95,96,97,95,98,94,99,98,99,92,98,95,97,96,98,80,94,99,70,90,85,80,95,92
Oil industry misinformation,p00270,1,1989,1,3,2,3,8,Yes,80,90,85,95,92,88,96,98,94,82,89,75,95,5,40,98,90,95,92,92,95,93,96,80,98,98,99,97,90,85,88,90,92,80,89,95,50,70,30,20,80,25
Oil industry misinformation,p00271,2,1992,3,3,3,3,9,Yes,95,90,92,98,96,97,95,93,94,91,90,92,99,2,80,98,60,95,90,90,92,91,93,85,98,96,97,95,95,90,92,93,91,80,95,90,75,85,92,60,95,88
Oil industry misinformation,p00272,1,1943,1,4,3,3,9,Yes,95,98,99,100,100,100,90,85,92,80,95,75,95,0,50,98,0,95,90,85,95,90,100,80,100,92,100,98,98,95,85,90,80,75,92,95,50,70,60,30,80,40
Oil industry misinformation,p00273,2,1936,1,1,5,1,10,Yes,80,90,85,95,98,99,92,96,94,88,90,95,99,0,100,100,0,99,95,90,95,92,98,85,98,98,97,96,99,100,99,98,95,80,90,92,70,85,60,20,80,75
Oil industry misinformation,p00274,1,1946,1,2,3,3,7,Yes,80,85,90,95,92,96,88,89,91,75,80,85,98,0,50,92,0,95,85,80,85,80,90,60,90,90,88,80,95,92,95,98,90,85,92,95,50,70,80,40,85,60
Oil industry misinformation,p00275,1,1962,3,2,1,3,8,Yes,90,95,92,98,97,96,94,93,91,80,75,85,99,0,60,99,90,98,95,92,95,93,96,80,95,99,98,95,98,96,98,99,94,97,95,96,70,85,80,40,90,60
Oil industry misinformation,p00276,1,1993,1,4,1,3,10,Yes,90,95,92,98,99,97,96,95,94,92,98,91,99,0,60,100,0,100,80,90,95,92,98,60,100,95,98,90,100,70,100,100,90,40,100,80,50,60,70,30,90,80
Oil industry misinformation,p00277,2,2000,1,4,5,2,8,Yes,95,98,97,99,100,99,95,98,96,97,100,99,100,0,90,90,85,95,88,92,94,93,98,80,98,95,98,99,95,90,85,95,88,92,98,95,60,80,50,40,90,70
Oil industry misinformation,p00278,2,1969,1,4,5,1,8,Yes,90,95,98,92,94,96,99,97,95,92,94,96,100,0,70,98,80,92,95,90,92,94,96,88,98,96,99,98,95,90,92,95,96,80,88,92,50,60,40,20,30,10
Oil industry misinformation,p00279,2,1973,3,1,5,2,9,Yes,95,98,99,100,100,100,95,98,99,100,100,95,90,5,98,100,90,98,99,95,98,99,100,95,99,95,97,95,100,90,98,100,99,80,95,99,50,90,85,20,95,80
Oil industry misinformation,p00280,2,1937,5,3,3,3,8,Yes,90,95,92,98,96,94,91,93,90,88,97,92,99,0,95,100,80,98,92,92,93,94,95,90,98,95,96,85,100,100,98,99,95,90,96,97,50,70,60,80,90,85
Oil industry misinformation,p00281,1,1937,1,2,3,3,10,Yes,90,92,95,98,99,97,94,96,95,90,92,88,98,0,80,98,0,99,96,88,90,92,95,85,99,92,95,98,95,98,99,96,97,95,94,98,20,30,40,50,60,70
Oil industry misinformation,p00282,2,1989,1,3,5,3,9,Yes,95,92,96,98,99,97,94,95,96,91,93,89,100,0,70,98,70,95,90,85,88,86,92,80,95,98,99,92,90,96,95,97,94,90,91,92,80,85,88,75,90,92
Oil industry misinformation,p00283,2,1978,1,4,4,3,9,Yes,85,90,92,95,96,97,98,99,100,95,96,97,92,8,78,96,75,95,85,85,90,92,95,88,99,98,99,100,95,92,95,96,93,85,90,94,80,88,92,75,90,85
Oil industry misinformation,p00284,2,2003,1,4,1,3,9,Yes,90,95,92,98,96,97,99,95,93,85,80,75,98,2,70,100,80,90,85,80,90,85,95,60,100,98,95,75,95,80,90,95,85,70,75,80,60,50,30,20,40,15
Oil industry misinformation,p00285,1,1940,1,3,1,3,10,Yes,80,85,90,95,92,88,98,96,94,99,100,95,90,5,75,95,20,98,96,88,90,85,92,80,98,99,100,95,92,88,92,98,96,90,95,92,50,80,70,20,90,60
Oil industry misinformation,p00286,1,1967,1,2,4,3,8,No,80,85,90,95,92,98,88,85,94,75,80,90,95,5,40,85,65,95,80,70,75,80,90,60,90,75,80,85,85,90,95,98,92,80,85,90,20,60,50,30,80,40
Oil industry misinformation,p00287,2,1985,1,2,2,3,8,Yes,90,85,95,92,88,89,96,93,94,76,82,90,98,0,55,99,70,98,95,84,87,86,91,83,99,96,97,99,95,92,90,94,96,88,91,93,25,80,60,15,90,70
Oil industry misinformation,p00288,1,1979,1,5,4,2,9,Yes,95,98,99,100,100,100,95,98,99,95,98,97,100,0,90,100,90,99,98,98,99,97,100,95,100,95,97,100,100,90,92,95,96,80,94,97,60,85,90,40,70,50
Oil industry misinformation,p00289,1,2004,1,5,3,2,8,Yes,95,92,98,99,96,97,94,95,93,91,90,92,99,1,95,98,90,97,95,92,94,93,99,96,98,99,98,94,98,96,97,98,99,92,94,95,50,70,40,20,60,30
Oil industry misinformation,p00290,1,1955,1,3,3,3,8,No,80,85,90,95,92,88,75,85,80,60,70,80,95,5,75,98,90,95,92,85,92,88,95,80,90,85,95,98,98,90,85,92,88,80,95,90,60,70,50,40,80,65
Oil industry misinformation,p00291,2,1993,2,4,3,2,7,Yes,95,98,97,99,100,99,95,98,97,90,95,92,100,0,80,100,95,98,97,98,98,97,99,96,99,99,99,90,100,100,98,95,97,99,96,98,70,85,90,60,80,75
Oil industry misinformation,p00292,2,1982,1,3,3,3,10,Yes,90,92,95,98,99,97,96,94,93,91,88,86,100,0,75,98,95,96,94,92,94,93,97,89,99,92,99,97,95,98,96,95,93,92,94,97,80,85,90,70,95,85
Oil industry misinformation,p00293,2,2003,1,4,4,2,8,Yes,90,95,92,98,99,96,85,88,90,95,92,80,95,0,70,99,98,97,96,95,97,96,94,80,90,95,98,99,98,90,92,93,94,80,88,90,60,80,70,40,75,65
Oil industry misinformation,p00294,2,1952,1,3,3,1,8,Yes,90,92,95,98,99,97,94,96,93,91,95,92,100,0,20,98,25,95,90,85,90,88,92,40,98,85,92,95,95,90,95,98,95,25,85,90,40,60,80,25,95,85
Oil industry misinformation,p00295,1,1969,1,2,1,1,5,No,50,50,60,20,30,40,10,15,25,50,20,30,40,60,10,90,10,95,80,40,50,45,55,30,70,60,70,80,80,90,95,98,85,10,92,95,25,60,20,15,50,30
Oil industry misinformation,p00296,1,2002,1,6,5,1,9,Yes,90,95,92,98,99,97,94,96,93,91,88,85,99,0,75,100,0,99,95,95,96,97,98,90,98,96,98,94,99,98,99,100,97,95,96,98,50,70,80,40,90,60
Oil industry misinformation,p00297,1,1965,1,2,4,3,6,Yes,90,92,95,98,99,96,97,94,93,91,89,88,99,0,80,99,0,98,95,94,96,95,97,92,95,94,96,98,98,90,91,92,93,80,85,89,50,60,20,40,70,30
Oil industry misinformation,p00298,3,1955,1,5,5,2,9,Yes,95,97,99,98,99,99,100,100,100,100,100,100,100,0,90,100,50,99,98,80,85,90,95,60,95,95,90,100,100,70,60,80,90,50,85,95,70,80,90,60,85,95
Oil industry misinformation,p00299,2,1971,1,5,1,4,8,Yes,80,90,85,95,92,98,88,96,90,82,89,85,95,0,60,98,0,95,92,88,90,89,85,50,98,96,97,94,92,99,98,100,95,93,99,96,60,70,80,50,90,75
Oil industry misinformation,p00300,2,1994,1,1,1,2,7,Yes,90,95,92,98,99,97,96,93,94,88,90,92,95,2,80,95,80,90,85,92,94,93,91,88,98,98,99,96,95,97,95,94,92,80,90,98,75,85,70,60,80,65
Measurement & modeling (1),p00301,1,1973,1,2,3,1,8,Yes,80,85,90,95,98,92,80,85,88,70,65,40,30,10,25,90,10,95,92,30,50,35,80,20,60,80,85,90,80,70,85,95,80,65,75,90,50,70,80,20,60,40
Measurement & modeling (1),p00302,2,1997,1,4,4,3,6,Yes,90,95,92,98,99,97,96,94,95,88,92,90,85,5,80,95,75,92,90,90,95,92,98,88,95,98,99,95,95,85,90,92,88,80,85,95,70,75,60,50,80,85
Measurement & modeling (1),p00303,1,1959,1,1,3,3,8,Yes,80,85,90,95,92,88,76,82,84,78,80,90,60,20,50,90,10,95,85,45,65,55,80,40,70,80,85,90,75,60,70,80,85,55,75,90,40,60,80,30,50,25
Measurement & modeling (1),p00304,1,1997,1,3,4,3,9,Yes,90,92,95,98,96,97,88,94,91,85,93,89,80,10,75,98,10,99,97,90,92,94,96,85,95,92,95,98,98,95,96,97,94,90,92,95,65,85,75,60,80,70
Measurement & modeling (1),p00305,1,2004,4,3,3,3,8,Yes,80,90,85,95,92,88,75,80,85,60,70,50,70,20,80,95,20,92,85,85,92,88,90,78,85,80,90,95,90,80,90,85,88,78,92,95,60,85,80,40,75,70
Measurement & modeling (1),p00306,1,1959,1,4,2,2,9,Yes,90,95,92,98,99,97,96,94,93,91,90,88,99,0,80,99,0,98,97,92,98,97,96,94,100,100,98,95,95,99,97,98,96,94,93,92,40,60,80,70,90,85
Measurement & modeling (1),p00307,2,1999,4,3,3,2,7,Yes,90,95,92,98,99,97,94,96,95,90,92,88,98,2,70,99,5,98,95,85,95,92,88,75,99,90,92,85,90,80,90,95,88,50,75,85,20,80,30,10,70,50
Measurement & modeling (1),p00308,2,1936,1,3,4,2,8,Yes,90,95,92,98,99,97,94,96,95,88,90,85,95,2,60,95,70,98,90,85,90,88,92,80,92,92,94,95,98,85,90,98,92,70,80,85,75,90,80,50,95,85
Measurement & modeling (1),p00309,2,1994,1,4,2,3,6,Yes,90,95,92,98,96,94,88,85,90,78,92,82,75,15,60,95,60,92,85,72,92,88,90,65,95,90,98,95,80,80,85,92,88,75,82,90,65,80,85,60,75,70
Measurement & modeling (1),p00310,1,1937,1,3,3,2,8,Yes,90,95,92,98,99,97,88,96,94,92,90,85,98,2,50,98,0,99,97,90,92,88,95,80,80,90,92,85,95,98,95,99,97,0,99,98,20,80,40,50,60,30
Measurement & modeling (1),p00311,2,1991,4,4,1,3,8,Yes,80,85,90,95,92,88,98,96,94,75,80,92,85,0,60,95,80,98,92,88,92,85,90,78,95,98,99,95,90,90,88,92,98,80,96,95,78,90,85,80,92,88
Measurement & modeling (1),p00312,1,2004,2,1,1,3,6,Yes,80,85,90,95,92,88,65,60,72,58,55,48,50,0,30,85,25,80,90,40,45,42,38,30,80,75,70,85,90,95,92,90,88,75,80,85,30,40,20,15,25,10
Measurement & modeling (1),p00313,2,1971,1,5,2,3,8,Yes,95,92,98,99,97,96,95,94,92,90,91,93,98,5,70,98,20,99,96,85,90,88,95,80,95,95,98,90,92,80,92,95,85,70,90,80,75,95,85,40,90,80
Measurement & modeling (1),p00314,2,2005,1,6,3,1,8,No,85,90,92,95,96,94,88,91,90,85,92,86,75,10,30,95,30,90,85,85,90,88,92,80,95,92,95,98,80,70,80,90,85,60,75,80,40,50,70,30,60,45
Measurement & modeling (1),p00315,1,1978,1,2,2,2,8,Yes,90,95,92,98,96,94,91,88,89,92,93,90,99,0,70,99,10,95,98,92,95,93,94,85,95,98,97,99,98,90,95,96,92,80,85,88,50,75,90,20,95,80
Measurement & modeling (1),p00316,1,1977,1,3,1,3,3,No,90,95,92,98,97,96,85,80,90,88,92,90,70,10,60,95,20,98,90,65,70,72,80,60,95,85,92,80,80,95,98,90,85,20,80,95,60,70,40,20,50,30
Measurement & modeling (1),p00317,1,1968,1,2,1,3,7,Yes,85,80,90,95,92,88,75,82,85,60,70,80,40,10,20,70,20,85,60,30,45,35,65,25,85,65,80,55,50,75,90,95,88,70,85,80,25,60,40,15,50,20
Measurement & modeling (1),p00318,1,1966,4,3,3,1,2,No,80,90,85,95,92,88,75,70,80,60,58,40,30,20,70,95,20,90,85,60,65,62,68,55,80,70,80,60,85,80,85,90,75,65,70,80,40,50,60,30,20,15
Measurement & modeling (1),p00319,2,1990,1,3,5,2,8,Yes,95,90,98,99,96,97,92,94,93,91,99,90,98,2,80,95,70,90,80,85,90,88,92,75,95,95,98,92,95,85,90,95,88,82,89,85,65,70,80,40,60,75
Measurement & modeling (1),p00320,2,1951,2,3,1,3,8,Yes,95,90,92,98,99,97,85,88,90,95,92,80,80,5,20,95,60,80,90,60,65,62,70,40,70,70,65,55,90,80,85,90,70,40,65,80,60,85,75,40,70,50
Measurement & modeling (1),p00321,2,1997,1,5,5,3,9,Yes,90,95,92,98,99,97,96,95,94,85,88,92,98,5,60,95,10,98,92,88,92,89,90,70,95,99,100,95,85,80,90,92,85,75,95,92,80,95,90,50,85,88
Measurement & modeling (1),p00322,2,1968,5,4,4,2,8,Yes,90,95,92,98,99,96,80,85,88,70,75,60,90,5,80,95,20,90,85,85,90,88,92,80,95,95,98,99,95,95,90,95,92,88,90,95,80,85,75,65,90,85
Measurement & modeling (1),p00323,1,1959,1,2,3,1,8,No,90,85,92,95,98,97,70,75,80,50,60,40,20,5,75,100,10,90,85,85,90,88,95,80,30,60,80,95,80,100,90,98,92,80,95,99,60,75,50,90,80,30
Measurement & modeling (1),p00324,2,1967,1,3,1,2,10,Yes,95,92,90,98,97,96,99,100,95,85,90,80,98,2,60,100,70,90,80,92,96,94,95,88,100,98,99,95,95,100,90,100,85,80,95,92,40,50,70,10,80,60
Measurement & modeling (1),p00325,2,2000,1,2,3,3,6,Yes,90,85,92,95,98,96,99,97,94,91,93,88,95,5,60,98,25,99,90,80,95,90,85,60,92,95,98,85,85,80,75,90,70,65,85,80,40,50,30,10,60,20
Measurement & modeling (1),p00326,1,1982,4,3,2,3,8,Yes,90,92,95,98,99,97,85,80,88,92,95,90,65,35,60,95,40,92,90,75,80,82,88,70,80,80,85,95,85,85,90,92,88,80,85,95,60,70,50,40,90,80
Measurement & modeling (1),p00327,1,1991,1,3,3,3,8,No,85,90,92,95,98,96,88,91,94,95,97,92,80,10,50,98,40,99,95,75,85,80,92,60,90,90,92,80,95,70,85,95,90,65,80,90,70,85,40,20,80,60
Measurement & modeling (1),p00328,1,1959,3,1,5,3,8,Yes,80,90,85,95,92,88,75,80,82,65,70,60,85,0,40,95,10,98,80,80,85,82,90,60,90,85,90,95,95,95,98,99,96,95,97,98,75,80,85,60,90,95
Measurement & modeling (1),p00329,1,2002,1,1,1,1,6,No,20,30,40,50,60,70,80,90,95,65,75,85,45,55,80,80,10,95,85,40,60,75,90,70,25,50,60,70,50,20,30,40,50,10,15,25,60,70,80,90,95,85
Measurement & modeling (1),p00330,2,1975,1,5,5,3,8,Yes,95,92,96,98,99,97,94,93,95,91,90,88,97,3,80,99,5,100,98,94,96,95,97,92,95,96,97,95,98,90,95,98,99,92,96,97,60,85,80,40,90,70
Measurement & modeling (1),p00331,1,1959,3,5,3,1,8,Yes,90,95,92,98,99,97,85,80,88,90,92,95,60,20,70,90,20,95,80,50,75,65,85,40,80,70,60,40,90,85,80,95,90,60,70,80,30,40,20,50,60,10
Measurement & modeling (1),p00332,2,2004,1,1,5,2,9,No,90,95,92,98,99,97,88,96,94,91,99,93,95,2,98,95,20,98,90,96,97,94,99,92,100,96,99,95,98,80,85,90,92,75,88,95,50,70,80,40,60,50
Measurement & modeling (1),p00333,1,1948,3,4,5,2,10,Yes,95,98,99,100,100,100,95,98,100,90,95,98,99,0,80,100,90,100,95,90,95,92,98,80,100,95,98,95,100,100,90,99,95,80,98,95,50,70,90,40,80,60
Measurement & modeling (1),p00334,2,1972,1,5,2,3,8,Yes,80,85,90,95,92,88,78,82,85,76,84,88,65,35,70,90,40,95,88,60,80,75,85,55,95,92,96,98,85,85,90,95,92,80,88,90,60,85,78,40,82,75
Measurement & modeling (1),p00335,2,1997,1,5,1,2,9,Yes,90,95,92,98,99,97,96,94,93,91,89,88,97,3,80,95,80,98,96,85,90,88,92,78,95,99,98,95,92,92,90,96,94,88,95,98,75,85,80,65,90,82
Measurement & modeling (1),p00336,2,1956,2,3,5,2,10,Yes,95,90,98,92,96,94,88,92,90,85,95,95,98,0,50,100,80,95,98,88,98,92,96,82,100,96,98,99,90,92,90,95,88,80,98,95,60,70,85,20,80,90
Measurement & modeling (1),p00337,3,1969,1,2,5,2,9,Yes,95,92,98,99,98,97,96,95,94,91,93,92,99,0,50,99,0,95,96,95,97,96,98,90,90,98,99,97,98,90,95,96,92,88,94,98,60,80,90,50,85,75
Measurement & modeling (1),p00338,1,1971,3,2,2,1,8,Yes,80,85,90,95,98,99,70,75,80,65,90,85,95,0,75,95,20,98,90,70,80,75,85,50,80,80,85,95,90,85,95,90,80,50,70,85,10,90,80,60,95,50
Measurement & modeling (1),p00339,2,1990,2,4,2,1,8,Yes,80,85,90,95,92,88,75,70,85,60,65,40,25,0,20,85,0,95,90,40,65,55,80,30,70,80,90,60,60,50,70,85,80,0,75,90,30,40,10,60,20,15
Measurement & modeling (1),p00340,1,2004,3,2,1,2,8,Yes,80,85,90,95,92,88,98,96,94,87,91,89,99,0,60,98,60,97,96,88,92,90,95,85,95,99,100,98,98,95,97,99,96,94,98,97,90,95,92,85,94,96
Measurement & modeling (1),p00341,1,1973,1,2,1,3,8,Yes,80,85,90,95,92,88,98,96,94,75,80,60,88,0,20,98,0,95,98,85,90,88,92,80,95,100,100,90,92,92,95,98,85,0,90,95,60,80,40,20,70,30
Measurement & modeling (1),p00342,1,1990,1,4,4,2,8,Yes,80,85,90,95,92,88,98,96,91,82,85,90,95,5,70,95,80,92,90,80,85,82,88,75,98,98,99,97,92,90,92,95,88,80,85,90,75,85,70,80,90,80
Measurement & modeling (1),p00343,2,1959,1,3,1,2,8,Yes,80,85,90,95,98,97,92,96,94,88,92,90,98,2,60,98,80,99,95,85,90,88,92,78,95,96,97,98,99,94,92,95,96,85,88,98,72,84,76,60,86,78
Measurement & modeling (1),p00344,1,1980,1,2,4,2,8,Yes,90,95,92,98,97,99,96,94,93,88,85,90,98,2,80,98,70,99,96,92,95,94,90,88,95,95,97,98,96,92,88,96,95,80,90,98,50,60,40,20,80,60
Measurement & modeling (1),p00345,2,1943,2,2,1,2,8,Yes,80,85,90,95,95,98,92,95,96,75,90,85,98,0,60,99,20,100,98,92,98,96,95,75,99,95,97,90,95,80,75,85,92,60,70,90,50,80,20,30,85,40
Measurement & modeling (1),p00346,2,1956,1,5,3,2,9,Yes,95,90,92,98,96,97,99,100,95,85,80,75,90,5,60,95,80,98,92,80,85,82,88,70,95,90,95,90,98,98,96,99,97,92,95,98,70,85,80,60,75,65
Measurement & modeling (1),p00347,2,1946,1,2,5,1,5,No,95,92,98,99,100,95,80,85,90,50,40,20,60,10,70,98,0,95,85,40,80,60,90,30,95,70,80,90,90,98,95,100,85,80,90,95,20,30,10,50,80,40
Measurement & modeling (1),p00348,2,1990,1,4,3,3,9,Yes,90,95,92,98,99,97,94,96,93,91,95,92,88,5,80,92,60,95,85,82,88,86,90,80,85,92,96,88,90,75,90,95,80,70,85,90,50,80,60,40,70,55
Measurement & modeling (1),p00349,1,1990,3,3,5,1,10,Yes,90,95,92,98,96,99,85,80,82,65,75,70,95,0,80,95,10,90,85,85,90,80,95,70,100,90,95,80,90,70,80,85,90,75,80,85,20,50,30,15,60,40
Measurement & modeling (1),p00350,2,1961,1,5,3,3,6,Yes,85,90,95,98,99,97,92,93,94,88,96,91,95,2,20,98,80,99,95,94,95,93,96,92,90,96,97,91,92,90,92,95,98,88,94,96,60,70,40,30,80,50
Former skeptics,p00351,2,1992,1,4,4,3,8,Yes,90,92,95,98,96,97,99,100,99,98,99,95,90,0,75,100,60,98,90,85,90,92,95,80,100,95,100,80,80,70,85,98,90,60,80,95,40,70,90,50,80,60
Former skeptics,p00352,1,2004,2,4,4,1,10,Yes,80,85,90,95,92,98,88,96,94,82,99,95,90,0,20,98,0,99,96,80,85,90,95,92,98,95,98,90,95,85,92,99,95,80,96,98,75,85,95,70,90,80
Former skeptics,p00353,2,1951,1,5,5,2,10,Yes,100,100,100,95,90,92,98,99,96,95,97,93,100,0,80,90,20,95,80,85,95,92,88,70,100,100,98,95,90,90,95,98,92,80,95,98,50,60,40,20,70,80
Former skeptics,p00354,2,2003,3,3,5,1,8,Yes,95,92,98,96,97,99,88,90,92,91,94,85,99,0,25,100,0,99,95,92,95,93,98,80,98,92,90,96,95,80,98,99,95,75,90,95,70,85,92,50,90,80
